Order Date,Customer Name,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit,Month,Year
44205,Melanie Seite,Texas,Office Supplies,Art,Newell 312,9.34,2,1.17,Jan,2021
44205,Melanie Seite,Texas,Technology,Accessories,Memorex Micro Travel Drive 8 GB,31.2,3,9.75,Jan,2021
44206,Anthony Jacobs,Virginia,Office Supplies,Labels,Avery 482,2.89,1,1.36,Jan,2021
44206,Anthony Jacobs,Virginia,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",51.94,1,21.3,Jan,2021
44207,Seth Vernon,Delaware,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",9.94,2,3.08,Jan,2021
44209,Chris Selesnick,Louisiana,Office Supplies,Envelopes,Staple envelope,11.36,2,5.34,Jan,2021
44209,Chris Selesnick,Louisiana,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,50.94,3,25.47,Jan,2021
44209,Chris Selesnick,Louisiana,Technology,Accessories,Plantronics S12 Corded Telephone Headset System,646.74,6,258.7,Jan,2021
44209,Chris Selesnick,Louisiana,Office Supplies,Binders,3-ring staple pack,5.64,3,2.71,Jan,2021
44209,Chris Selesnick,Louisiana,Office Supplies,Storage,Fellowes Stor/Drawer Steel Plus Storage Drawers,572.58,6,34.35,Jan,2021
44209,Natalie DeCherney,South Carolina,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,545.94,6,87.35,Jan,2021
44209,Brian Dahlen,California,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,1325.85,5,238.65,Jan,2021
44209,Brian Dahlen,California,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",334.0,3,3.93,Jan,2021
44209,Brian Dahlen,California,Office Supplies,Art,4009 Highlighters by Sanford,19.9,5,6.57,Jan,2021
44209,Michael Moore,Ohio,Office Supplies,Paper,Xerox 1923,37.41,7,13.09,Jan,2021
44209,Michael Moore,Ohio,Office Supplies,Binders,Avery Metallic Poly Binders,3.44,2,-2.52,Jan,2021
44210,Brendan Sweed,Pennsylvania,Furniture,Bookcases,Sauder Cornerstone Collection Library,61.96,4,-53.29,Jan,2021
44211,Erica Hackney,Georgia,Technology,Accessories,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5,65.98,Jan,2021
44212,Delfina Latchford,Pennsylvania,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,127.1,6,28.6,Jan,2021
44212,Delfina Latchford,Pennsylvania,Technology,Phones,AT&T 841000 Phone,124.2,3,-31.05,Jan,2021
44212,Delfina Latchford,Pennsylvania,Office Supplies,Binders,GBC Linen Binding Covers,18.59,2,-13.63,Jan,2021
44212,Delfina Latchford,Pennsylvania,Office Supplies,Labels,Round Specialty Laser Printer Labels,30.07,3,10.15,Jan,2021
44214,David Wiener,Oregon,Office Supplies,Appliances,Fellowes Mighty 8 Compact Surge Protector,64.86,4,6.49,Jan,2021
44215,Toby Swindell,Arizona,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10,-23.72,Jan,2021
44215,Toby Swindell,Arizona,Office Supplies,Paper,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.06,4,19.62,Jan,2021
44215,Toby Swindell,Arizona,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5,36.69,Jan,2021
44215,Toby Swindell,Arizona,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,-320.6,Jan,2021
44216,Hunter Lopez,Arkansas,Technology,Phones,Apple iPhone 5C,699.93,7,181.98,Jan,2021
44216,Hunter Lopez,Arkansas,Office Supplies,Art,Newell 351,22.96,7,6.66,Jan,2021
44216,Hunter Lopez,Arkansas,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4,11.58,Jan,2021
44216,Hunter Lopez,Arkansas,Office Supplies,Art,Newell 327,6.63,3,1.79,Jan,2021
44216,Hunter Lopez,Arkansas,Office Supplies,Envelopes,Staple envelope,23.34,3,10.97,Jan,2021
44216,Hunter Lopez,Arkansas,Furniture,Chairs,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3,224.27,Jan,2021
44216,Mark Van Huff,California,Office Supplies,Paper,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2,9.29,Jan,2021
44216,Mark Van Huff,California,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2,5.79,Jan,2021
44216,Xylona Preis,Michigan,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,13.98,1,4.05,Jan,2021
44216,Xylona Preis,Michigan,Furniture,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,30.02,Jan,2021
44216,Xylona Preis,Michigan,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5,8.95,Jan,2021
44216,Xylona Preis,Michigan,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.72,4,93.58,Jan,2021
44216,Xylona Preis,Michigan,Office Supplies,Storage,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2,15.98,Jan,2021
44216,Xylona Preis,Michigan,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,12.74,Jan,2021
44216,Xylona Preis,Michigan,Furniture,Furnishings,Ultra Door Push Plate,14.73,3,4.86,Jan,2021
44216,Xylona Preis,Michigan,Office Supplies,Binders,Storex Dura Pro Binders,29.7,5,13.37,Jan,2021
44216,Muhammed MacIntyre,Tennessee,Office Supplies,Binders,GBC DocuBind TL200 Manual Binding Machine,67.19,1,-51.52,Jan,2021
44217,Tom Boeckenhauer,Florida,Furniture,Furnishings,Ultra Door Pull Handle,25.25,3,4.1,Jan,2021
44219,Ionia McGrath,Nevada,Office Supplies,Paper,Xerox 195,40.08,6,19.24,Jan,2021
44219,Speros Goranitis,Indiana,Office Supplies,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3,0.0,Jan,2021
44222,Shirley Daniels,Virginia,Furniture,Furnishings,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3,30.78,Jan,2021
44222,Shirley Daniels,Virginia,Office Supplies,Storage,"SAFCO Commercial Wire Shelving, 72h",489.92,8,0.0,Jan,2021
44222,Shirley Daniels,Virginia,Office Supplies,Paper,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,3,9.33,Jan,2021
44222,Shirley Daniels,Virginia,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2,8.34,Jan,2021
44222,Shirley Daniels,Virginia,Technology,Phones,Macally Suction Cup Mount,155.35,13,0.0,Jan,2021
44222,Shirley Daniels,Virginia,Furniture,Furnishings,Eldon Image Series Black Desk Accessories,12.42,3,4.47,Jan,2021
44222,Shirley Daniels,Virginia,Technology,Phones,Jabra SPEAK 410,187.98,2,52.63,Jan,2021
44222,Carol Adams,South Dakota,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2,5.02,Jan,2021
44222,Carol Adams,South Dakota,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2,39.75,Jan,2021
44223,Ed Jacobs,California,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,57.23,1,14.31,Jan,2021
44223,Ed Jacobs,California,Furniture,Tables,Balt Split Level Computer Training Table,333.0,3,-16.65,Jan,2021
44223,Ed Jacobs,California,Office Supplies,Art,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4,12.03,Jan,2021
44224,Jasper Cacioppo,New York,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.93,1,1.33,Jan,2021
44226,Mike Vittorini,Michigan,Office Supplies,Paper,Xerox 1972,10.56,2,4.75,Jan,2021
44226,Mike Vittorini,Michigan,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,229.94,2,6.9,Jan,2021
44227,Liz Carlisle,California,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish",290.67,2,3.42,Jan,2021
44228,Bradley Drucker,Wisconsin,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,206.32,Feb,2021
44229,Cynthia Delaney,California,Office Supplies,Fasteners,Staples,12.35,5,5.8,Feb,2021
44229,Eric Barreto,Florida,Office Supplies,Binders,Surelock Post Binders,18.34,2,-12.22,Feb,2021
44229,Eric Barreto,Florida,Technology,Phones,AT&T 17929 Lendline Telephone,180.96,5,13.57,Feb,2021
44230,Tom Boeckenhauer,Washington,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,83.84,2,27.25,Feb,2021
44230,Tom Boeckenhauer,Washington,Office Supplies,Binders,Avery Durable Poly Binders,13.27,3,4.31,Feb,2021
44231,Deborah Brumfield,California,Office Supplies,Binders,GBC Recycled Grain Textured Covers,82.9,3,29.01,Feb,2021
44231,Deborah Brumfield,California,Office Supplies,Paper,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4,16.09,Feb,2021
44231,Mark Haberlin,California,Office Supplies,Binders,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.25,2,6.04,Feb,2021
44233,Neil Ducich,Virginia,Office Supplies,Labels,Avery 480,15.0,4,7.2,Feb,2021
44233,Neil Ducich,Virginia,Technology,Phones,Aastra 57i VoIP phone,161.61,1,42.02,Feb,2021
44233,Neil Ducich,Virginia,Technology,Phones,AT&T CL82213,144.95,5,42.04,Feb,2021
44233,Delfina Latchford,Illinois,Office Supplies,Binders,"Avery Flip-Chart Easel Binder, Black",8.95,2,-14.77,Feb,2021
44234,Cyma Kinney,New Jersey,Technology,Accessories,Maxell DVD-RAM Discs,115.36,7,49.6,Feb,2021
44234,Chris Selesnick,New York,Office Supplies,Storage,Acco Perma 4000 Stacking Storage Drawers,64.96,4,9.74,Feb,2021
44235,Nathan Mautz,Nevada,Furniture,Furnishings,"Master Caster Door Stop, Large Brown",14.56,2,5.53,Feb,2021
44238,Natalie Fritzler,Virginia,Technology,Accessories,Enermax Aurora Lite Keyboard,234.45,3,103.16,Feb,2021
44238,Natalie Fritzler,Virginia,Furniture,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6,75.37,Feb,2021
44238,Natalie Fritzler,Virginia,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,8.21,Feb,2021
44238,Guy Armstrong,Missouri,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",60.89,1,15.22,Feb,2021
44238,Guy Armstrong,Missouri,Office Supplies,Labels,Avery 483,14.94,3,6.87,Feb,2021
44238,Guy Armstrong,Missouri,Office Supplies,Binders,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2,4.43,Feb,2021
44238,Guy Armstrong,Missouri,Furniture,Furnishings,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94,3,53.27,Feb,2021
44238,Guy Armstrong,Missouri,Office Supplies,Binders,VariCap6 Expandable Binder,51.9,3,24.39,Feb,2021
44238,Guy Armstrong,Missouri,Office Supplies,Storage,Fellowes Neat Ideas Storage Cubes,64.96,2,2.6,Feb,2021
44239,Sanjit Chand,California,Furniture,Chairs,"Global Geo Office Task Chair, Gray",129.57,2,-24.29,Feb,2021
44241,Shui Tom,Texas,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8Â” x 11Â”",16.18,3,6.07,Feb,2021
44241,Marina Lichtenstein,Washington,Technology,Accessories,Logitech G600 MMO Gaming Mouse,239.97,3,86.39,Feb,2021
44241,Marina Lichtenstein,Washington,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,81.96,2,22.95,Feb,2021
44241,Marina Lichtenstein,Washington,Office Supplies,Supplies,Compact Automatic Electric Letter Opener,238.62,2,4.77,Feb,2021
44242,Barry FranzÃ¶sisch,Washington,Office Supplies,Binders,Pressboard Data Binders by Wilson Jones,21.36,5,7.21,Feb,2021
44243,Michael Nguyen,Texas,Office Supplies,Binders,Wilson Jones Easy Flow II Sheet Lifters,1.08,3,-1.73,Feb,2021
44243,Michael Nguyen,Texas,Office Supplies,Appliances,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.96,2,-13.93,Feb,2021
44244,Delfina Latchford,Illinois,Office Supplies,Art,Staples in misc. colors,54.21,14,8.81,Feb,2021
44245,Troy Blackwell,Texas,Furniture,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16,5,-11.32,Feb,2021
44245,Aaron Bergman,Texas,Office Supplies,Storage,Akro Stacking Bins,12.62,2,-2.52,Feb,2021
44247,Linda Cazamias,Indiana,Technology,Accessories,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3,22.43,Feb,2021
44247,Linda Cazamias,Indiana,Furniture,Furnishings,"Master Caster Door Stop, Brown",20.32,4,6.91,Feb,2021
44247,Steven Roelle,California,Office Supplies,Paper,Xerox 204,12.96,2,6.22,Feb,2021
44248,Tamara Manning,Illinois,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,8.85,5,-13.72,Feb,2021
44249,Sue Ann Reed,California,Office Supplies,Paper,Xerox 220,19.44,3,9.33,Feb,2021
44250,Michael Grace,Texas,Office Supplies,Labels,Staple-on labels,6.94,3,2.34,Feb,2021
44250,Michael Grace,Texas,Office Supplies,Binders,GBC Plastic Binding Combs,4.43,3,-6.86,Feb,2021
44251,Jennifer Halladay,Oregon,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",32.9,4,11.1,Feb,2021
44251,Jennifer Halladay,Oregon,Office Supplies,Paper,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",22.78,3,7.69,Feb,2021
44254,Joy Smith,Ohio,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.46,4,3.4,Feb,2021
44256,Dave Brooks,Washington,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.57,2,51.48,Mar,2021
44256,Hallie Redmond,New York,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,1.6,Mar,2021
44256,Vicky Freymann,Illinois,Furniture,Chairs,Novimex Swivel Fabric Task Chair,634.12,6,-172.12,Mar,2021
44256,Vicky Freymann,Illinois,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.47,3,5.68,Mar,2021
44256,Shahid Collister,Texas,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,-3.53,Mar,2021
44256,Shahid Collister,Texas,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0.0,Mar,2021
44256,Shahid Collister,Texas,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,63.55,6,-34.95,Mar,2021
44256,Shahid Collister,Texas,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,129.55,3,-22.67,Mar,2021
44256,Giulietta Weimer,Texas,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,137.35,3,8.58,Mar,2021
44256,Giulietta Weimer,Texas,Furniture,Tables,Bevis Round Conference Room Tables and Bases,376.51,3,-43.03,Mar,2021
44257,Kristina Nunn,New York,Office Supplies,Envelopes,Staple envelope,11.36,2,5.34,Mar,2021
44257,Kristina Nunn,New York,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",36.4,5,17.47,Mar,2021
44257,Nicole Hansen,Pennsylvania,Office Supplies,Paper,Xerox 1971,3.42,1,1.07,Mar,2021
44257,Nicole Hansen,Pennsylvania,Technology,Accessories,Hypercom P1300 Pinpad,151.2,3,32.13,Mar,2021
44258,Ashley Jarboe,North Carolina,Office Supplies,Art,Zebra Zazzle Fluorescent Highlighters,19.46,4,3.4,Mar,2021
44258,Anne Pryor,New York,Technology,Phones,PowerGen Dual USB Car Charger,9.99,1,4.6,Mar,2021
44258,Anne Pryor,New York,Office Supplies,Binders,Ibico Laser Imprintable Binding System Covers,125.76,3,40.87,Mar,2021
44258,Anne Pryor,New York,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",25.32,5,9.18,Mar,2021
44258,Jill Stevenson,Ohio,Office Supplies,Labels,Avery 495,15.12,3,4.91,Mar,2021
44258,Jill Stevenson,Ohio,Furniture,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,302.45,5,-199.62,Mar,2021
44258,Jill Stevenson,Ohio,Office Supplies,Storage,Eldon Shelf Savers Cubes and Bins,44.67,8,-10.05,Mar,2021
44258,Sam Craven,Texas,Office Supplies,Appliances,3.6 Cubic Foot Counter Height Office Refrigerator,176.77,3,-459.61,Mar,2021
44258,Eva Jacobs,California,Furniture,Tables,"Bevis Oval Conference Table, Walnut",626.35,3,-23.49,Mar,2021
44259,Clay Ludtke,South Carolina,Office Supplies,Storage,Sensible Storage WireTech Storage Systems,354.9,5,17.75,Mar,2021
44259,Sanjit Chand,Florida,Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip",15.55,3,2.33,Mar,2021
44260,Aimee Bixby,New York,Office Supplies,Art,Newell 345,59.52,3,15.48,Mar,2021
44260,Aimee Bixby,New York,Technology,Accessories,Logitech Wireless Gaming Headset G930,479.97,3,177.59,Mar,2021
44260,Aimee Bixby,New York,Office Supplies,Supplies,Acme Forged Steel Scissors with Black Enamel Handles,18.62,2,5.4,Mar,2021
44260,Aimee Bixby,New York,Office Supplies,Binders,GBC Wire Binding Combs,49.63,6,16.75,Mar,2021
44260,Aimee Bixby,New York,Office Supplies,Paper,Xerox 1891,97.82,2,45.98,Mar,2021
44262,Aaron Bergman,Washington,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo",48.71,1,5.48,Mar,2021
44262,Aaron Bergman,Washington,Office Supplies,Art,Newell 330,17.94,3,4.66,Mar,2021
44262,Aaron Bergman,Washington,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit",242.94,3,4.86,Mar,2021
44262,Nora Pelletier,Washington,Office Supplies,Binders,Catalog Binders with Expanding Posts,107.65,2,33.64,Mar,2021
44262,Craig Molinari,Washington,Office Supplies,Art,Newell Chalk Holder,20.65,5,9.5,Mar,2021
44262,Craig Molinari,Washington,Office Supplies,Storage,"Contico 72""H Heavy-Duty Storage System",204.9,5,0.0,Mar,2021
44262,Craig Molinari,Washington,Furniture,Chairs,Office Star - Task Chair with Contemporary Loop Arms,436.7,6,21.84,Mar,2021
44262,Craig Molinari,Washington,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",481.57,2,54.18,Mar,2021
44265,Scott Williamson,Michigan,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",22.38,2,10.74,Mar,2021
44265,Kean Thornton,Colorado,Office Supplies,Storage,Tennsco 6- and 18-Compartment Lockers,636.41,3,-15.91,Mar,2021
44265,Kean Thornton,Colorado,Office Supplies,Art,"BOSTON Ranger #55 Pencil Sharpener, Black",83.17,4,9.36,Mar,2021
44266,Chloris Kastensmidt,Ohio,Furniture,Furnishings,Eldon Wave Desk Accessories,8.32,5,2.29,Mar,2021
44266,Chloris Kastensmidt,Ohio,Office Supplies,Fasteners,Stockwell Push Pins,10.46,6,1.7,Mar,2021
44266,Kelly Andreada,New York,Office Supplies,Paper,"Southworth 100% RÃ©sumÃ© Paper, 24lb.",108.92,14,49.01,Mar,2021
44266,Filia McAdams,Kentucky,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",146.76,3,38.16,Mar,2021
44266,Filia McAdams,Kentucky,Technology,Accessories,Maxell DVD-RAM Discs,32.96,2,14.17,Mar,2021
44266,Filia McAdams,Kentucky,Technology,Phones,Panasonic KX-TG9471B,587.97,3,164.63,Mar,2021
44266,Filia McAdams,Kentucky,Office Supplies,Paper,Xerox 198,14.94,3,7.02,Mar,2021
44266,Richard Bierner,California,Office Supplies,Art,Economy #2 Pencils,7.98,3,2.07,Mar,2021
44269,Dean Katz,California,Office Supplies,Paper,Xerox 1972,10.56,2,4.75,Mar,2021
44269,Dean Katz,California,Office Supplies,Art,Avery Hi-Liter Fluorescent Desk Style Markers,3.38,1,1.25,Mar,2021
44269,Christine Kargatis,Virginia,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,1139.92,4,284.98,Mar,2021
44269,Jason Fortune-,Utah,Office Supplies,Binders,GBC Wire Binding Combs,33.09,4,11.17,Mar,2021
44269,Jason Fortune-,Utah,Office Supplies,Storage,Carina Double Wide Media Storage Towers in Natural & Black,80.98,1,3.24,Mar,2021
44269,Jason Fortune-,Utah,Technology,Accessories,ImationÂ 30456 USBÂ Flash DriveÂ 8GB,82.8,12,6.62,Mar,2021
44269,Jason Fortune-,Utah,Office Supplies,Storage,Staple magnet,21.36,2,5.77,Mar,2021
44269,Jason Fortune-,Utah,Office Supplies,Binders,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",62.05,2,20.17,Mar,2021
44269,Rick Bensley,Illinois,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,574.91,2,156.05,Mar,2021
44269,Rick Bensley,Illinois,Office Supplies,Paper,Xerox 1963,8.45,2,2.64,Mar,2021
44269,Neil FranzÃ¶sisch,Florida,Office Supplies,Paper,Xerox 1887,91.06,6,31.87,Mar,2021
44270,Alan Shonely,Florida,Office Supplies,Storage,"Hot File 7-Pocket, Floor Stand",142.78,1,17.85,Mar,2021
44270,Alan Shonely,Florida,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",45.7,3,5.14,Mar,2021
44270,Alan Shonely,Florida,Office Supplies,Binders,Insertable Tab Post Binder Dividers,7.22,3,-5.53,Mar,2021
44270,Alan Shonely,Florida,Office Supplies,Binders,GBC VeloBinder Manual Binding System,43.19,4,-31.67,Mar,2021
44270,Alan Shonely,Florida,Office Supplies,Paper,Xerox 1889,131.9,3,47.82,Mar,2021
44271,Kristina Nunn,North Carolina,Technology,Phones,Polycom VoiceStation 500 ConferenceÂ phone,471.92,2,29.5,Mar,2021
44272,Bradley Nguyen,Minnesota,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,93.78,2,36.57,Mar,2021
44272,Bradley Nguyen,Minnesota,Office Supplies,Paper,"Memo Book, 100 Message Capacity, 5 3/8Â” x 11Â”",47.18,7,23.59,Mar,2021
44272,Bradley Nguyen,Minnesota,Office Supplies,Art,Newell 35,19.68,6,5.71,Mar,2021
44272,Bradley Nguyen,Minnesota,Office Supplies,Binders,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,53.4,10,25.1,Mar,2021
44272,Bradley Nguyen,Minnesota,Office Supplies,Binders,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,35.88,6,17.22,Mar,2021
44272,Christine Phan,New York,Furniture,Tables,Bretford Rectangular Conference Table Tops,1579.75,7,-447.59,Mar,2021
44272,Christine Phan,New York,Furniture,Tables,Balt Solid Wood Round Tables,1071.58,4,-553.65,Mar,2021
44272,Christine Phan,New York,Furniture,Tables,"Hon 30"" x 60"" Table with Locking Drawer",613.91,3,-122.78,Mar,2021
44272,Christine Phan,New York,Office Supplies,Paper,Xerox 1926,34.86,7,16.38,Mar,2021
44272,Christine Phan,New York,Office Supplies,Paper,Xerox 1918,155.04,4,75.97,Mar,2021
44272,Annie Zypern,Texas,Office Supplies,Art,Newell 333,4.45,2,0.33,Mar,2021
44272,Annie Zypern,Texas,Office Supplies,Paper,Xerox 1966,5.18,1,1.88,Mar,2021
44272,Annie Zypern,Texas,Office Supplies,Paper,Xerox 1967,15.55,3,5.44,Mar,2021
44272,Mark Haberlin,Mississippi,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",11.43,3,5.37,Mar,2021
44272,Mark Haberlin,Mississippi,Office Supplies,Binders,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",30.44,2,14.92,Mar,2021
44272,Mark Haberlin,Mississippi,Office Supplies,Paper,Xerox 1957,12.96,2,6.35,Mar,2021
44272,Mark Haberlin,Mississippi,Office Supplies,Paper,EcoTones Memo Sheets,16.0,4,7.68,Mar,2021
44272,Mark Haberlin,Mississippi,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,32.67,3,8.49,Mar,2021
44272,Quincy Jones,Pennsylvania,Office Supplies,Paper,Xerox 1909,126.62,6,41.15,Mar,2021
44273,Sean Miller,Florida,Technology,Machines,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,821.3,4,-16.43,Mar,2021
44273,Sean Miller,Florida,Technology,Machines,Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,6,-1811.08,Mar,2021
44273,Sean Miller,Florida,Office Supplies,Paper,Xerox 195,21.38,4,7.48,Mar,2021
44273,Sean Miller,Florida,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set,8.02,3,1.0,Mar,2021
